References,Family,,ID Number,Name,Name UD,Illustration,CEFR level,Definition in Russian,Definition in English,Definition in Norwegian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. function of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type (only for Clause and Biclausal),Usage label,Anchor words,Common fillers,Comment,STRUCTURE in UD,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,13,NP-Nom пойти/Cop весь в NP-Acc,NP-Nom пойти/Cop весь в NP-Acc,Он пошел весь в отца.,B1,"Конструкция служит для выражения значительного сходства кого-либо [с его близким или дальним родственником]Theme. Сходство может быть как в характере, так и во внешности. Конструкция может иметь негативную оценку при сравнении плохих черт характера (пример 5).","This construction means that someone is very similar to [a close or distant relative]Theme, either in their character or in their looks. When it is used to compare bad character traits, the construction has a negative connotation (example 5).","Konstruksjonen uttrykker at noen er svært lik [en nær eller fjern slektning]Theme. Likhetstrekkene kan være knyttet både til personlighet og utseende. Når konstruksjonen brukes om dårlige likhetstrekk, har den en negativ konnotasjon (eksempel 5).",Брат так похож на неё лицом и характером. Весь в [маму]Theme.,"В бабушку, вся в [бабушку]Theme, — говорил иногда старик, рассматривая внучку.",Дочь вся в [папу]Theme пошла.,"Рыдала Танюша по поводу Валерки. Тот стал красавцем, весь в [мать]Theme, знал о своей красоте и гулял то с одной девочкой, то с другой. ","Характером Карл был весь в [папашу]Theme, поэтому с раннего юношества в семье разражались такие скандалы, что матушка его спасалась вместе с сыном от гнева отца, в спешке убегая.","NP, Nom, Cop, Acc",Copula Construction,Praedicаtive Expression,Verb; Praedic,Verb; Prep; Pron,Comparison,Similarity,,,,,,,Theme,Assertive,NA,"пойти, весь, в, вся","маму, отца",,[root (пойти) [acl весь [nmod [case в] NP-Acc]]]; [root [nsubj он] пошел [acl весь] [nmod [case в] отца]],,,,,,,,,,,,,Similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,(Cl) разве что/только Cl,(Cl) разве что/только Cl,"Не буду пить, разве что пригублю.",,,,,,,,,,Cl,Connection Construction,Conjunction,,,Concession,,Quantification,Exclusive,,,,,,Assertive,NA,"разве, что, только",,,,,,,,,,,,,,,,,,Unspecified,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,"Cl, а NP-Nom опять VP-Imp!","Cl, а NP-Nom опять VP-Imper!","Он ушел домой, а я опять переделывай всё после него.",,,,,,,,,,"Cl, NP, Nom, VP, Imp",Clause,,,,Attitude,Dissatisfaction,Comparison,Contrast,Root modality,Necessity: External,,,,Exclamatory,Colloquial,"а, опять",,,,,,,,,,Dissatisfaction,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,,16,(NP-Dat) грех Cop VP-Inf,(NP-Dat) грех Cop VP-Inf,Грех обижаться на взрослых.,,,,,,,,,,"NP, Dat, Cop, VP, Inf",Copula Construction,Praedicаtive Expression,,,Assessment,Negative,,,,,,,,,Colloquial,грех,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,(NP-Dat) давно пора Cop VP-Inf,(NP-Dat) давно пора Cop VP-Inf,Детям давно пора поесть.,B1,"Конструкция обозначает, что, по мнению говорящего, [событие]Action должно было наступить значительно раньше настоящего момента или [участник ситуации]Participant должен был выполнить какое-либо [действие]Action значительно раньше настоящего момента.","This construction means that, according to the speaker, a given [event]Action should already have taken place, or a [participant in the situation]Participant should already have performed a certain [Action]Action.","Ved hjelp av denne konstruksjonen uttrykker taleren at en gitt [hendelse]Action etter vedkommendes mening allerede burde ha funnet sted, eller at [deltageren i en viss situasjon]Participant allerede burde ha utført en gitt [handling]Action.",Да и [спать]Action давно пора!,"Она говорит, что [дочери]Participant давно пора  [найти мужа]Action, но она говорит, что пока ещё не хочет замуж.","Отец объявляет, что [сыну]Participant давно пора [идти домой]Action.",А [доктору Дружникову]Participant давно пора было себе новую обувь [покупать]Action. Да и его форма с халатом тоже весьма поизносилась. ,"Так она сидела долго, до тех пор, пока не заметила, что каждое облако стало похоже на куриную ножку. Давно пора было [завтракать]Action. Но Казимира все не шла.","NP, Dat, Cop, VP, Inf",Copula Construction,Praedicаtive Expression,NP,Adv; Noun,Time,Proper time,Causation,Direct,Root modality,Necessity: External,,,"Participant, Action",Assertive,NA,"давно, пора","спать, есть, ложиться",,[root [nmod NP-Dat] [advmod давно] пора [nsubj VP-Inf]]; [root [nmod детям] [advmod давно] пора [nsubj поесть]],,,,,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,Proper time,,,,
,,,18,(NP-Dat) не мешало бы/не мешает VP-Pfv.Inf,(NP-Dat) не мешало бы/не мешает VP-Perf.Inf,Нам не мешало бы подкрепиться.,,,,,,,,,,"NP, Dat, VP, Pfv, Inf",Predicate Argument Construction,Verb,,,Causation,Indirect,Volition,,Root modality,Necessity: External,,,,Assertive,Colloquial,"не, мешало, бы, мешает",,,,,,,,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,Unspecified
"См. также статью Рахилина, Е.В. Кондуктор, нажми на тормоза.. // Компьютерная лингвистика и интеллектуальные технологии: По материалам ежегодной Международной конференции «Диалог». Т. 1: Основная программа конференции. Вып. 12 (19). М.: РГГУ, 2013, 665-673. https://rakhilina.ru/files/rakhilinaev.pdf","Family of prohibitive constructions General rules, instructions",,19,(NP-Dat) Cop не положено VP-Ipfv.Inf,(NP-Dat) Cop не положено VP-Imp.Inf,Детям не положено гулять поздно.,B1,"Конструкция обозначает запрет на [некоторое действие]Action как выражение некоторого общего правила, принятого в обществе, в стране или в организации (например, в школе, в тюрьме) на официальном уровне. Потенциально такое действие может произойти, и этот запрет должен его предотвратить. [Участник]Participant, устанавливающий запрет, имеет более высокий статус в социальной иерархии, чем тот, к кому запрет обращен (например, отношения начальник vs подчиненный, взрослый vs ребенок, администрация учреждения vs посетители). Правило действует для всех членов общества или для определенных групп людей (например, женщины, дети, студенты первого курса университета, заключенные в тюрьме и др.). Часто участник не упоминается, и конструкция используется как безличное предложение. Если участник назван, то он часто представлен целой группой лиц, но может быть и отдельным лицом, в том числе и собеседником говорящего.",This construction expresses the prohibition of [an action]Action. The [participant]Participant has potential control to dictate the prohibition at an official level. This construction is often used in impersonal constructions (without mentioning the participant) to express a commonly accepted rule.,,В мае не положено [жениться]Action: муж и жена всю жизнь страдать будут.,[Мужчинам]Participant не положено [жаловаться на тоску и плохое настроение]Action.,[Первокурсникам]Participant [жить в общежитии]Action не положено. Ребята принялись искать себе другое жилье.,"Любимский музей маленький, и по штату [ему]Participant не положено  [иметь]Action реставрационных мастерских.",По нашим законам [вам]Participant не положено [находиться на территории Германии]Action.,"NP, Dat, Cop, VP, Ipfv, Inf",Copula Construction,Praedicаtive Expression,,,Prohibition,Prohibitive,,,,,,,"Participant, Action",Exclamatory,Formal,"не, положено","гулять, находиться","См. похожие конструкции (NP-Dat) запрещается/воспрещается VP-Imp.Inf (На экзамене запрещается пользоваться мобильными телефонами), (NP-Dat) VP-Imp.Inf запрещено (Купаться запрещено), (NP-Dat) нельзя VP-Inf (Моей дочке нельзя есть сладкое) и здесь/у нас не VP-3Pres.Plur.Imp (Здесь не курят)",[root [advmod не] положено [csubj VP-Inf]];  [root [obl NP-Dat] [advmod не] положено [csubj VP-Inf]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitive,,,,,,,,,,,,,,,,,,
,,,20,(NP-Dat) Cop не Prep кто/что VP-Inf,(NP-Dat) Cop не Prep кто/что VP-Inf ,Мне не с кем погулять.,,,,,,,,,,"NP, Dat, Cop, Prep, VP, Inf",Copula Construction,Praedicаtive Expression,Negation; Pron,,Non-existence,Absence,,,,,,,,,NA,"не, кто, что",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,(NP-Dat) нельзя Cop не VP-Inf,(NP-Dat) нельзя не VP-Inf,Нельзя было не согласиться с ним тогда.,,,,,,,,,,"NP, Dat, Cop, VP, Inf",Copula Construction,Praedicаtive Expression,Double negation,,Attitude,No choice,Root modality,Necessity: External,,,,,,,NA,"нельзя, не",,,,,,,,,,No choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necessity: External,,,,,,,,,,,,
,,,22,(NP-Dat) Cop девать некуда NP-Acc ,(NP-Dat)  Cop девать некуда NP-Acc,Нам уже еду девать некуда.,A2,"Конструкция подчеркивает избыточность некоторого [объекта]Theme, которым располагает [участник]Participant. Количество объекта намного больше, чем необходимо. Упоминание самого [участника]Participant опционально. Конструкция используется в неформальном общении.",This construction is used to emphasise the excess of an [object]Theme that the [participant]Participant has. The amount of the object is much larger than necessary. Mentioning the [participant]Participant is optional.,,[Нам]Participant [эту картошку]Theme девать некуда.,[Начальству]Participant просто [деньги]Theme девать некуда.,"[Тебе]Participant что, [время]Theme девать некуда?","― Попробуй, ― с улыбкой согласилась Мария, ― если [силы]Theme девать некуда. ","Своих [учителей]Theme девать некуда, голубчик… ― вздохнул директор, даже не интересуясь дипломом.","NP, Dat, Acc, Cop",Copula Construction,Praedicаtive Expression,Negation; Pron; Verb,,Measure,,,,,,,,"Theme, Participant",Exclamatory,Colloquial,"девать, некуда","деньги, силы, хлам, барахло",,[root [obl NP-Dat] [obj NP-Acc] девать [advmod некуда]]; [root [obl нам] [advmod уже] [obj еду] девать [advmod некуда]],,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23,(NP-Dat) VP-Inf Cop незачем,(NP-Dat) VP-Inf Cop незачем,Жить ему было незачем.,,,,,,,,,,"NP, Dat, VP, Inf, Cop",Copula Construction,Praedicаtive Expression,Negation; Pron,,Non-existence,Absence,Purpose,,,,,,,,NA,незачем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,Unspecified,,,,,,,,,,,,,,,,,
,,,24,(NP-Dat) VP-Inf Cop некуда,(NP-Dat) VP-Inf Cop некуда,Дальше идти некуда.,,,,,,,,,,"NP, Dat, VP, Inf, Cop",Copula Construction,Praedicаtive Expression,Negation; Pron,,Non-existence,Absence,Spatial expression,Path:Goal,,,,,,,NA,некуда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,Path: Goal,,,,,,,
,,,25,(NP-Dat) VP-Inf Cop нечего,(NP-Dat) VP-Inf Cop нечего,Есть было нечего.,,,,,,,,,,"NP, Dat, VP, Inf, Cop",Copula Construction,Praedicаtive Expression,Negation; Pron,,Non-existence,Absence,,,,,,,,,NA,нечего,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absence,,,,,,,,,,,,,,,,,,,,,,,,
,,,26,(NP-Nom) только что VP-Pfv.Pst,(NP-Nom) только что VP-Perf.Past,Вася только что принес деньги.,,,,,,,,,,"NP, Nom, VP, Pfv, Pst",Head + Modifier Construction,Adv,,,Timeline,Recent past,,,,,,,,,NA,"только, что",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recent past,,
,,,27,(NP-Nom) это Cop в первую очередь NP-Nom,(NP-Nom) это Cop в первую очередь NP-Nom,Это в первую очередь его заслуга.,,,,,,,,,,"NP, Nom, Cop",Copula Construction,Praedicаtive Expression,,,Assessment,Positive,,,,,,,,Assertive,NA,"это, в, первую, очередь",,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Семья конструкций с континуативной семантикой и с редупликацией (Continuative constructions with a reduplicative pattern),,28,NP-Nom по-Verb-по-~Verb и VP,NP-Nom по-V-по-V и VP,Поспит-поспит и проснётся.,C1,"Конструкция обозначает, что [участник]Agent совершает несколько порций повторяющегося цикличного [действия]Activity, которое прерывается [другим действием или событием]Event. Повторение порций действия выражается повторением глагола, который обычно имеет приставку по-.",,,А [голова]Agent [поболит-поболит]Activity и [перестанет]Event! ,"[Ребенок]Agent [поорёт-поорёт]Activity и [замолчит]Event, а через час снова кричит.","Конечно, можно будет просто не открыть дверь. [Позвонит-позвонит]Activity ― и [уйдёт]Event. ","[Яблоки]Agent [полежат-полежат]Activity и [пропадут]Event, если их, конечно, не сварят в варенье.",[Они]Agent [подумают-подумают]Activity и [вернут все на место]Event. ,"NP, Nom, Verb, VP",Clause,Verb pattern; Affix,Reduplication; Word-formation,Conj,Phase of action,Continuative,,,,,,,"Agent, Activity, Event",Assertive,Colloquial,и,"поспит, подумает, покричит",,[root VP-VP [conj [cc и] Cl]]; [root поспит-поспит [conj [cc и] проснётся]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuative,,,,,,,,,,,,,,,,,,,,,
,,,29,абы PronInt,абы SCONJ,"Он делал работу хорошо, а не абы как.",,,,,,,,,,PronInt,Head + Modifier Construction,Adv,,,Assessment,Negative,,,,,,,,,Colloquial,абы,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30,ай да NP-Nom!,ай да NP-Nom!,– Ай да герой! – крикнул директор в восторге.,,,,,,,,,,"NP, Nom",Clause,Clause,,,Assessment,Positive,,,,,,,,Exclamatory,Colloquial,"ай, да",,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,ах PronPers-Nom NP-Nom!,ах PronPers-Nom NP-Nom!,Ах ты подлец!,,,,,,,,,,"PronPers, Nom, NP",Clause,Clause,,,Assessment,Positive; Negative,,,,,,,,Exclamatory,Colloquial,ах,,,,,,,,,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A family of MEASURE constructions that express approximate amounts,,32,без малого NumCrd NP-Gen,без малого NumCrd NP-Gen,Без малого двадцать лет,B1,"Конструкция обозначает неточное количество [объектов]Theme, которое немного меньше, чем ближайший [крупный числовой ориентир]Landmark. Ориентир как правило выражен целыми и и часто круглыми числами (числительные ""десять"", ""сорок""; существительные ""десяток"", ""сотня"", ""тысяча""). Объекты могут быть конкретными (люди, автомобили, рубли) или абстрактными (годы).",,,И всё-таки мы женаты без малого [десять]Landmark [лет]Theme.,В 2001 году его содержание стоило без малого [семь миллиардов]Landmark [рублей]Theme.,С тех пор прошло без малого [два]Landmark [года]Theme.,"Несколько лет назад разразился скандал: выяснилось, что с номерами посольства ездили без малого [две сотни]Landmark [автомобилей]Theme, что в несколько раз превышало количество посольских сотрудников.","Ну, запомнит несколько человек из двух тысяч, что на самом деле ты не к семеновцам попал, ну и что? Остальные без малого [две тысячи]Landmark [человек]Theme так и останутся в неведении. ","NumCrd, NP, Gen",Head + Modifier Construction,Adv,,,Measure,,Degree of accuracy,Approximate,,,,,"Theme, Landmark",,NA,"без, малого","десять, десяток, сотня, миллиард, миллион",,[root [case без] [amod малого] [nummod Num] NP-Gen]; [root [case без] [amod малого] [nummod двадцать] лет],,,,,,,,,,,,,,,,,Approximate,,,,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33,без пяти минут NP,без пяти минут NP,Без пяти минут врач,A2,"Конструкция обозначает, что [некоторый участник]Participant в ближайшем будущем сменит свой статус на [новый, как правило, более высокий статус]Evaluation. Как правило речь идет о получении профессии (пример 1), продвижении по карьерной лестнице (примеры 2, 5) или повышении статуса в личных или родственных отношениях (примеры 3, 4). Выражение ""без пяти минут"" синонимично слову ""почти"". Как если бы на часах оставалось всего пять минут до наступления нового статуса.",This construction is used to show that [a participant]Participant will change his or her status in the near future to the [new and usually higher status]Evaluation.,,"[Митя]Participant ― студент последнего курса мединститута, без  пяти минут [врач]Evaluation.",В США или Европе собрать пару десятков без пяти минут [нобелевских лауреатов]Evaluation сложно даже за очень большие деньги.,"Уже через секунду он сообразил, что ему ответил [Виталий Кирган]Participant, адвокат, без пяти минут [жених Надежды Игоревны]Evaluation.","И слышать не желаю, [мы]Participant же без пяти минут [родственники]Evaluaton!",― [Вы]Participant без пяти минут ― [обладатель «Оскара»]Evaluation. ― Вы мне льстите.,NP,Head + Modifier Construction,Adj,Nominal pattern,,Salient property,Status,,,,,,,"Participant, Evaluation",,Colloquial,"без, пяти, минут","врач, доктор наук, кандидат наук",,[root [nmod [case без] [nummod пяти] минут] NP-Nom],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
